节次,周一,周二,周三,周四,周五,周六,周日
1,,,,,,,
2,,,,,,"投资学(辅双)
上课信息：1-16周 每周 二教203  教师：徐建国
考试信息：20260103 星期六 上午",
3,,"软件工程(主)
上课信息：1-16周 每周 二教406  教师：孙艳春
考试信息：20251230 星期二 上午",,,,"投资学(辅双)
上课信息：1-16周 每周 二教203  教师：徐建国
考试信息：20260103 星期六 上午",
4,,"软件工程(主)
上课信息：1-16周 每周 二教406  教师：孙艳春
考试信息：20251230 星期二 上午",,,,"投资学(辅双)
上课信息：1-16周 每周 二教203  教师：徐建国
考试信息：20260103 星期六 上午",
5,,,"游泳(主)
上课信息：1-16周 每周   教师：张展嘉 备注：男生班   邱德拔B2游泳馆
考试信息：","软件工程(主)
上课信息：1-16周 每周 二教406  教师：孙艳春
考试信息：20251230 星期二 上午",,,
6,,,"游泳(主)
上课信息：1-16周 每周   教师：张展嘉 备注：男生班   邱德拔B2游泳馆
考试信息：","软件工程(主)
上课信息：1-16周 每周 二教406  教师：孙艳春
考试信息：20251230 星期二 上午",,,
7,"计算几何(主)
上课信息：1-16周 每周 三教106  教师：刘剑飞 备注：强基工，工
考试信息：",,"工学创新实践(主)
上课信息：1-16周 每周 理教315  教师：吕鹏宇 备注：限制30人。不定期在新奥工学大楼4072做实验
考试信息：","英语非虚构作品中的近当代中国社会与文化(主)
上课信息：1-16周 每周 地学102  教师：陈冰
考试信息：",,,
8,"计算几何(主)
上课信息：1-16周 每周 三教106  教师：刘剑飞 备注：强基工，工
考试信息：",,"工学创新实践(主)
上课信息：1-16周 每周 理教315  教师：吕鹏宇 备注：限制30人。不定期在新奥工学大楼4072做实验
考试信息：","英语非虚构作品中的近当代中国社会与文化(主)
上课信息：1-16周 每周 地学102  教师：陈冰
考试信息：",,,
9,,,"工学创新实践(主)
上课信息：1-16周 每周 理教315  教师：吕鹏宇 备注：限制30人。不定期在新奥工学大楼4072做实验
考试信息：",,,,
10,"中国宏观经济(辅双)
上课信息：1-16周 每周 理教302  教师：徐高
考试信息：20260105 星期一 晚上","中国传统官僚政治制度(主)
上课信息：1-16周 每周 一教201  教师：阎步克,叶炜
考试信息：","财务报表分析(辅双)
上课信息：1-16周 单周 二教207  教师：张昕
考试信息：20260107 星期三 晚上","高频数据与高频交易(主)
上课信息：1-16周 每周   教师：黎新平,李少然 备注：三教503 本研合上
考试信息：",,"财务报表分析(辅双)
上课信息：1-16周 双周 二教207  教师：张昕
考试信息：20260107 星期三 晚上","财务报表分析(辅双)
上课信息：7-7周 每周 二教207  教师：张昕
考试信息：20260107 星期三 晚上"
11,"中国宏观经济(辅双)
上课信息：1-16周 每周 理教302  教师：徐高
考试信息：20260105 星期一 晚上","中国传统官僚政治制度(主)
上课信息：1-16周 每周 一教201  教师：阎步克,叶炜
考试信息：","财务报表分析(辅双)
上课信息：1-16周 单周 二教207  教师：张昕
考试信息：20260107 星期三 晚上","高频数据与高频交易(主)
上课信息：1-16周 每周   教师：黎新平,李少然 备注：三教503 本研合上
考试信息：",,"财务报表分析(辅双)
上课信息：1-16周 双周 二教207  教师：张昕
考试信息：20260107 星期三 晚上","财务报表分析(辅双)
上课信息：7-7周 每周 二教207  教师：张昕
考试信息：20260107 星期三 晚上"
12,"中国宏观经济(辅双)
上课信息：1-16周 每周 理教302  教师：徐高
考试信息：20260105 星期一 晚上",,"财务报表分析(辅双)
上课信息：1-16周 单周 二教207  教师：张昕
考试信息：20260107 星期三 晚上",,,"财务报表分析(辅双)
上课信息：1-16周 双周 二教207  教师：张昕
考试信息：20260107 星期三 晚上","财务报表分析(辅双)
上课信息：7-7周 每周 二教207  教师：张昕
考试信息：20260107 星期三 晚上"
